
*** Data Prefetching Championship 2 Simulator ***

Warmup Instructions: 0
Simulation Instructions: 100000000
Scramble loads OFF
Using 1MB Last Level Cache
Using 12.8 GB/s DRAM bandwidth
Knobs visible from prefetcher: 0 0 0
Resetting history queue.
Setting up the minimum score
Resetting offset table
Setting initial offset to 1
Tag offset: 6
Resetting rable rounds
Resetting gauge

Warmup complete. Instructions retired: 1 Cycles elapsed: 2 IPC: 0.500000
Instructions Retired: 100001 Cycle: 38326 Hearbeat IPC: 2.609221 Cumulative IPC: 2.609221
Instructions Retired: 200002 Cycle: 67288 Hearbeat IPC: 3.452835 Cumulative IPC: 2.972328
Instructions Retired: 300001 Cycle: 95831 Hearbeat IPC: 3.503451 Cumulative IPC: 3.130522
Instructions Retired: 400000 Cycle: 124545 Hearbeat IPC: 3.482587 Cumulative IPC: 3.211691
Instructions Retired: 500003 Cycle: 153246 Hearbeat IPC: 3.484304 Cumulative IPC: 3.262748
Instructions Retired: 600001 Cycle: 182047 Hearbeat IPC: 3.472032 Cumulative IPC: 3.295858
Instructions Retired: 700000 Cycle: 210877 Hearbeat IPC: 3.468574 Cumulative IPC: 3.319471
Instructions Retired: 800001 Cycle: 239562 Hearbeat IPC: 3.486177 Cumulative IPC: 3.339432
Instructions Retired: 900003 Cycle: 268403 Hearbeat IPC: 3.467355 Cumulative IPC: 3.353178
Instructions Retired: 1000004 Cycle: 297180 Hearbeat IPC: 3.475032 Cumulative IPC: 3.364977
Instructions Retired: 1100000 Cycle: 326069 Hearbeat IPC: 3.461387 Cumulative IPC: 3.373519
Instructions Retired: 1200002 Cycle: 354947 Hearbeat IPC: 3.462913 Cumulative IPC: 3.380792
Instructions Retired: 1300000 Cycle: 383863 Hearbeat IPC: 3.458224 Cumulative IPC: 3.386625
Instructions Retired: 1400005 Cycle: 413016 Hearbeat IPC: 3.430350 Cumulative IPC: 3.389711
Instructions Retired: 1500000 Cycle: 441959 Hearbeat IPC: 3.454894 Cumulative IPC: 3.393980
Instructions Retired: 1600005 Cycle: 470715 Hearbeat IPC: 3.477709 Cumulative IPC: 3.399095
Instructions Retired: 1700002 Cycle: 499706 Hearbeat IPC: 3.449243 Cumulative IPC: 3.402004
Instructions Retired: 1800001 Cycle: 528476 Hearbeat IPC: 3.475808 Cumulative IPC: 3.406022
Instructions Retired: 1900001 Cycle: 557116 Hearbeat IPC: 3.491620 Cumulative IPC: 3.410423
Offset switch to: -30	With score: 20
Instructions Retired: 2000005 Cycle: 585881 Hearbeat IPC: 3.476586 Cumulative IPC: 3.413671
Instructions Retired: 2100001 Cycle: 614778 Hearbeat IPC: 3.460428 Cumulative IPC: 3.415869
Instructions Retired: 2200005 Cycle: 643675 Hearbeat IPC: 3.460705 Cumulative IPC: 3.417882
Instructions Retired: 2300004 Cycle: 672499 Hearbeat IPC: 3.469296 Cumulative IPC: 3.420085
Instructions Retired: 2400002 Cycle: 701463 Hearbeat IPC: 3.452493 Cumulative IPC: 3.421423
Instructions Retired: 2500003 Cycle: 731102 Hearbeat IPC: 3.373967 Cumulative IPC: 3.419500
Instructions Retired: 2600000 Cycle: 759857 Hearbeat IPC: 3.477552 Cumulative IPC: 3.421696
Instructions Retired: 2700002 Cycle: 788718 Hearbeat IPC: 3.464953 Cumulative IPC: 3.423279
Instructions Retired: 2800000 Cycle: 817435 Hearbeat IPC: 3.482188 Cumulative IPC: 3.425349
Instructions Retired: 2900000 Cycle: 846161 Hearbeat IPC: 3.481167 Cumulative IPC: 3.427244
Instructions Retired: 3000002 Cycle: 874889 Hearbeat IPC: 3.480994 Cumulative IPC: 3.429009

Simulation complete. Instructions retired: 3099757 Cycles elapsed: 903533 IPC: 3.430707

