
*** Data Prefetching Championship 2 Simulator ***

Warmup Instructions: 0
Simulation Instructions: 100000000
Scramble loads OFF
Using 1MB Last Level Cache
Using 12.8 GB/s DRAM bandwidth
Knobs visible from prefetcher: 0 0 0
Resetting history queue.
Setting up the minimum score
Resetting offset table
Setting initial offset to 1
Tag offset: 6
Resetting rable rounds
Resetting gauge

Warmup complete. Instructions retired: 3 Cycles elapsed: 2 IPC: 1.500000
Cycle: 15	Rate: 32
Cycle: 16	Rate: 31
Cycle: 17	Rate: 31
Cycle: 19	Rate: 30
Cycle: 22	Rate: 30
Cycle: 23	Rate: 29
Cycle: 25	Rate: 29
Cycle: 45	Rate: 28
Cycle: 197	Rate: 29
Cycle: 200	Rate: 29
Cycle: 202	Rate: 28
Cycle: 226	Rate: 28
Cycle: 274	Rate: 28
Cycle: 415	Rate: 29
Cycle: 431	Rate: 29
Cycle: 447	Rate: 29
Cycle: 453	Rate: 28
Cycle: 511	Rate: 28
Cycle: 609	Rate: 29
Cycle: 615	Rate: 29
Cycle: 626	Rate: 28
Cycle: 641	Rate: 28
Cycle: 899	Rate: 29
Cycle: 905	Rate: 29
Cycle: 1073	Rate: 30
Cycle: 1079	Rate: 30
Cycle: 1093	Rate: 29
Cycle: 1095	Rate: 29
Cycle: 1247	Rate: 30
Cycle: 1253	Rate: 30
Cycle: 1421	Rate: 31
Cycle: 1427	Rate: 31
Cycle: 1436	Rate: 30
Cycle: 1438	Rate: 30
Cycle: 1450	Rate: 29
Cycle: 1469	Rate: 29
Cycle: 1669	Rate: 30
Cycle: 1699	Rate: 30
Cycle: 1705	Rate: 30
Cycle: 1734	Rate: 30
Cycle: 1735	Rate: 29
Cycle: 1750	Rate: 29
Cycle: 1751	Rate: 28
Cycle: 1774	Rate: 28
Cycle: 1795	Rate: 28
Cycle: 1808	Rate: 28
Cycle: 1816	Rate: 27
Cycle: 1955	Rate: 28
Cycle: 1977	Rate: 28
Cycle: 2000	Rate: 28
Cycle: 2002	Rate: 27
Cycle: 2128	Rate: 28
Cycle: 2160	Rate: 28
Cycle: 2161	Rate: 28
Cycle: 2164	Rate: 27
Cycle: 2175	Rate: 27
Cycle: 2179	Rate: 26
Cycle: 2189	Rate: 26
Cycle: 2197	Rate: 25
Cycle: 2409	Rate: 26
Cycle: 2930	Rate: 27
Cycle: 2931	Rate: 27
Cycle: 2934	Rate: 26
Cycle: 2936	Rate: 26
Cycle: 2942	Rate: 25
Cycle: 2943	Rate: 25
Cycle: 2946	Rate: 24
Cycle: 2947	Rate: 24
Cycle: 2948	Rate: 23
Cycle: 2950	Rate: 23
Cycle: 3281	Rate: 24
Cycle: 3282	Rate: 24
Cycle: 3289	Rate: 23
Cycle: 3293	Rate: 23
Cycle: 3294	Rate: 22
Cycle: 3322	Rate: 22
Cycle: 3324	Rate: 22
Cycle: 3509	Rate: 23
Cycle: 3510	Rate: 23
