
*** Data Prefetching Championship 2 Simulator ***

Warmup Instructions: 0
Simulation Instructions: 100000000
Scramble loads OFF
Using 1MB Last Level Cache
Using 12.8 GB/s DRAM bandwidth
Knobs visible from prefetcher: 0 0 0
Resetting history queue.
Setting up the minimum score
Resetting offset table
Setting initial offset to 1
Tag offset: 6
Resetting rable rounds
Resetting gauge

Warmup complete. Instructions retired: 1 Cycles elapsed: 2 IPC: 0.500000
Cycle: 15	Rate: 32
Cycle: 17	Rate: 31
Cycle: 18	Rate: 31
Cycle: 26	Rate: 30
Cycle: 29	Rate: 30
Cycle: 203	Rate: 31
Cycle: 263	Rate: 31
Cycle: 265	Rate: 31
Cycle: 267	Rate: 31
Cycle: 296	Rate: 31
Cycle: 302	Rate: 30
Cycle: 309	Rate: 30
Cycle: 310	Rate: 29
Cycle: 319	Rate: 29
Cycle: 320	Rate: 28
Cycle: 322	Rate: 28
Cycle: 647	Rate: 29
Cycle: 647	Rate: 29
Cycle: 649	Rate: 28
Cycle: 657	Rate: 28
Cycle: 664	Rate: 27
Cycle: 668	Rate: 27
Cycle: 676	Rate: 26
Cycle: 678	Rate: 26
Cycle: 1057	Rate: 27
Cycle: 1067	Rate: 27
Cycle: 1071	Rate: 26
Cycle: 1081	Rate: 26
Cycle: 1082	Rate: 25
Cycle: 1084	Rate: 25
Cycle: 1182	Rate: 26
Cycle: 1184	Rate: 26
Cycle: 1189	Rate: 25
Cycle: 1197	Rate: 25
Cycle: 1204	Rate: 24
Cycle: 1214	Rate: 24
Cycle: 1315	Rate: 25
Cycle: 1317	Rate: 25
Cycle: 1331	Rate: 24
Cycle: 1339	Rate: 24
Cycle: 1341	Rate: 23
Cycle: 1342	Rate: 23
Cycle: 1343	Rate: 22
Cycle: 1431	Rate: 23
Cycle: 1485	Rate: 23
Cycle: 1487	Rate: 23
Cycle: 1507	Rate: 23
Cycle: 1509	Rate: 23
Cycle: 1511	Rate: 22
Cycle: 1516	Rate: 22
Cycle: 1519	Rate: 21
Cycle: 1614	Rate: 22
Cycle: 1624	Rate: 22
Cycle: 1626	Rate: 21
Cycle: 1629	Rate: 21
Cycle: 1642	Rate: 21
Cycle: 1643	Rate: 20
Cycle: 1748	Rate: 21
Cycle: 1755	Rate: 21
