
*** Data Prefetching Championship 2 Simulator ***

Warmup Instructions: 0
Simulation Instructions: 100000000
Scramble loads ON
Using 1MB Last Level Cache
Using 12.8 GB/s DRAM bandwidth
Knobs visible from prefetcher: 1 0 0
Resetting history queue.
Setting up the minimum score
Resetting offset table
Setting initial offset to 1
Tag offset: 6
Resetting rable rounds
Resetting gauge

Warmup complete. Instructions retired: 1 Cycles elapsed: 2 IPC: 0.500000
Instructions Retired: 100000 Cycle: 74483 Hearbeat IPC: 1.342588 Cumulative IPC: 1.342588
Instructions Retired: 200000 Cycle: 157328 Hearbeat IPC: 1.207073 Cumulative IPC: 1.271230
Instructions Retired: 300000 Cycle: 238092 Hearbeat IPC: 1.238175 Cumulative IPC: 1.260017
Instructions Retired: 400000 Cycle: 308644 Hearbeat IPC: 1.417394 Cumulative IPC: 1.295992
Instructions Retired: 500000 Cycle: 369179 Hearbeat IPC: 1.651937 Cumulative IPC: 1.354357
Instructions Retired: 600000 Cycle: 435241 Hearbeat IPC: 1.513730 Cumulative IPC: 1.378547
Instructions Retired: 700000 Cycle: 498058 Hearbeat IPC: 1.591926 Cumulative IPC: 1.405459
Instructions Retired: 800000 Cycle: 561727 Hearbeat IPC: 1.570623 Cumulative IPC: 1.424179
Instructions Retired: 900000 Cycle: 640315 Hearbeat IPC: 1.272459 Cumulative IPC: 1.405558
Instructions Retired: 1000000 Cycle: 740986 Hearbeat IPC: 0.993335 Cumulative IPC: 1.349553
Instructions Retired: 1100000 Cycle: 831949 Hearbeat IPC: 1.099348 Cumulative IPC: 1.322196
Instructions Retired: 1200000 Cycle: 920786 Hearbeat IPC: 1.125657 Cumulative IPC: 1.303234
Instructions Retired: 1300000 Cycle: 1021040 Hearbeat IPC: 0.997466 Cumulative IPC: 1.273212
Instructions Retired: 1400000 Cycle: 1119104 Hearbeat IPC: 1.019742 Cumulative IPC: 1.251001
Instructions Retired: 1500003 Cycle: 1210494 Hearbeat IPC: 1.094244 Cumulative IPC: 1.239166
Instructions Retired: 1600000 Cycle: 1307734 Hearbeat IPC: 1.028352 Cumulative IPC: 1.223490
Instructions Retired: 1700000 Cycle: 1368336 Hearbeat IPC: 1.650111 Cumulative IPC: 1.242385
Instructions Retired: 1800000 Cycle: 1454969 Hearbeat IPC: 1.154295 Cumulative IPC: 1.237140
Instructions Retired: 1900000 Cycle: 1554165 Hearbeat IPC: 1.008105 Cumulative IPC: 1.222521
Instructions Retired: 2000000 Cycle: 1627512 Hearbeat IPC: 1.363382 Cumulative IPC: 1.228870
Instructions Retired: 2100000 Cycle: 1725582 Hearbeat IPC: 1.019680 Cumulative IPC: 1.216981
Instructions Retired: 2200004 Cycle: 1816147 Hearbeat IPC: 1.104223 Cumulative IPC: 1.211358
Instructions Retired: 2300000 Cycle: 1897562 Hearbeat IPC: 1.228226 Cumulative IPC: 1.212082
Instructions Retired: 2400000 Cycle: 2000894 Hearbeat IPC: 0.967754 Cumulative IPC: 1.199464
Offset switch to: -1	With score: 32
Instructions Retired: 2500000 Cycle: 2098113 Hearbeat IPC: 1.028605 Cumulative IPC: 1.191547
Instructions Retired: 2600000 Cycle: 2203611 Hearbeat IPC: 0.947885 Cumulative IPC: 1.179882
Instructions Retired: 2700000 Cycle: 2319882 Hearbeat IPC: 0.860060 Cumulative IPC: 1.163852
Instructions Retired: 2800000 Cycle: 2433364 Hearbeat IPC: 0.881197 Cumulative IPC: 1.150670
Instructions Retired: 2900000 Cycle: 2542170 Hearbeat IPC: 0.919067 Cumulative IPC: 1.140758
Instructions Retired: 3000004 Cycle: 2656237 Hearbeat IPC: 0.876713 Cumulative IPC: 1.129419

Simulation complete. Instructions retired: 3099753 Cycles elapsed: 2770620 IPC: 1.118794

