
*** Data Prefetching Championship 2 Simulator ***

Warmup Instructions: 0
Simulation Instructions: 100000000
Scramble loads OFF
Using 256KB Last Level Cache
Using 12.8 GB/s DRAM bandwidth
Knobs visible from prefetcher: 0 1 0
Resetting history queue.
Setting up the minimum score
Resetting offset table
Setting initial offset to 1
Tag offset: 6
Resetting rable rounds
Resetting gauge
Cycle: 15	Rate: 32
Cycle: 16	Rate: 31
Cycle: 17	Rate: 31
Cycle: 18	Rate: 30
Cycle: 19	Rate: 30
Cycle: 20	Rate: 29
Cycle: 21	Rate: 29
Cycle: 22	Rate: 28
Cycle: 188	Rate: 29

Warmup complete. Instructions retired: 4 Cycles elapsed: 233 IPC: 0.017167
Cycle: 245	Rate: 29
Cycle: 289	Rate: 30
Cycle: 305	Rate: 30
Cycle: 321	Rate: 30
Cycle: 455	Rate: 31
Cycle: 456	Rate: 31
Cycle: 495	Rate: 31
Cycle: 511	Rate: 30
Cycle: 531	Rate: 30
Cycle: 543	Rate: 30
Cycle: 575	Rate: 30
Cycle: 639	Rate: 30
Cycle: 655	Rate: 30
Cycle: 813	Rate: 31
Cycle: 861	Rate: 31
Cycle: 877	Rate: 31
Cycle: 881	Rate: 31
Cycle: 885	Rate: 30
Cycle: 892	Rate: 30
Cycle: 893	Rate: 29
Cycle: 921	Rate: 29
Cycle: 924	Rate: 29
Cycle: 937	Rate: 28
Cycle: 953	Rate: 28
Cycle: 969	Rate: 28
Cycle: 1001	Rate: 28
Cycle: 1029	Rate: 28
Cycle: 1077	Rate: 28
Cycle: 1109	Rate: 28
Cycle: 1114	Rate: 28
Cycle: 1115	Rate: 27
Cycle: 1116	Rate: 27
Cycle: 1340	Rate: 28
Cycle: 1352	Rate: 28
Cycle: 1409	Rate: 28
Cycle: 1425	Rate: 28
Cycle: 1445	Rate: 28
Cycle: 1477	Rate: 28
Cycle: 1512	Rate: 28
Cycle: 1531	Rate: 28
Cycle: 1563	Rate: 28
Cycle: 1583	Rate: 28
Cycle: 1645	Rate: 28
Cycle: 1660	Rate: 28
Cycle: 1661	Rate: 28
Cycle: 1675	Rate: 28
Cycle: 1815	Rate: 29
Cycle: 2064	Rate: 30
Cycle: 2164	Rate: 31
Cycle: 2165	Rate: 31
Cycle: 2189	Rate: 30
Cycle: 2190	Rate: 30
Cycle: 2387	Rate: 31
Cycle: 2404	Rate: 31
Cycle: 2444	Rate: 31
Cycle: 2450	Rate: 31
Cycle: 2455	Rate: 30
Cycle: 2456	Rate: 30
Cycle: 2458	Rate: 29
Cycle: 2461	Rate: 29
Cycle: 2463	Rate: 28
Cycle: 2469	Rate: 28
Cycle: 2482	Rate: 27
Cycle: 2493	Rate: 27
Cycle: 2743	Rate: 28
Cycle: 2786	Rate: 28
Cycle: 2789	Rate: 28
Cycle: 2794	Rate: 27
Cycle: 2800	Rate: 27
Cycle: 2801	Rate: 26
